tag_chrom,trait_reported,count
2,Serum metabolite levels [L_VLDL_FC],2043
2,Serum metabolite levels (CMS) [XXL_VLDL_PL],2043
2,Handedness (Left-handed vs. non-left-handed),868
2,Waist-to-hip ratio adjusted for BMI x sex interaction,598
2,Visceral fat [women],1096
2,Blood metabolite levels [pyroglutamine],10
2,Anxiety x maternal smoking during pregnancy interaction [Additive model],266
2,Visceral adipose tissue volume,25
2,Hearing aid user,4036
2,Glomerular filtration rate [6-measure model],24393
2,Platelet count,1701340
2,Protein quantitative trait loci (liver) [IGHM],199
2,Other peripheral nerve disorders,2153
2,Response to radiotherapy in prostate cancer (toxicity) [late toxicity],491
2,Bilirubin levels [Total bilirubin],2549
2,Number of live births,328
2,Permanent tooth development,322
2,Selective IgA deficiency,89
2,Protein quantitative trait loci (liver) [CBR3],390
2,Guilty feelings,31793
2,Protein C levels,16352
2,Triglycerides [AA],1121
2,Psoriasis or type 2 diabetes (trans-disease meta-analysis)(opposite effect),7123
2,Suffer from 'nerves',704
2,P wave duration [EA],239
2,Serum levels of protein LRP1B,113
2,Facial morphology [subnasale-right alare distance],227
2,Facial morphology (jaw slope 2),3
2,Basophil percentage of granulocytes,13268
2,Vertex-wise sulcal depth,248652
2,Electrocardiogram morphology (amplitude at temporal datapoints) [86 ms],5817
2,Childhood absence epilepsy,1126
2,Diaphragmatic hernia,624
2,"Sarcoma/fibrosarcoma | cancer code, self-reported",1602
2,Adhesion G protein-coupled receptor E2 levels,114
2,"""Ulcerative colitis (strict definition, require KELA, min 2 HDR)""",144
2,Systolic blood pressure,550386
2,Serum metabolite levels [N-acetylcitrulline],38843
2,Ankle spacing width (left),9827
2,Chronic obstructive pulmonary disease,14888
2,Glycemic traits (pregnancy) [FPG],2325
2,Serum levels of protein EFEMP1,976
2,Activated & secreting CD4 regulatory T cell %CD4 regulatory T cell,1753
2,Mid-point of the five least active hours of the day,28
2,Neutrophil count,1053951
2,Serum metabolite levels [biliverdin],7950
2,"Heel bone mineral density (bmd) t-score, automated (left)",17260
2,Serum metabolite levels (CMS) [L_VLDL_PL],2043
2,Electrocardiogram morphology (amplitude at temporal datapoints) [100 ms],275
2,Metabolite levels [Cer d18:2/26:0],18
2,LDL cholesterol,104288
2,High IL-1beta levels in gingival crevicular fluid,3114
2,Spermatocele,7953
2,Body mass index [men],2604
2,Serum metabolite levels (CMS) [L_VLDL_TG],2043
2,CD45RA on resting CD4 regulatory T cell,2331
2,Phosphatidylcholine-O_44:5_[M+OAc]1-/Phosphatidylcholine-P_44:4_[M+OAc]1- levels,2043
2,Abscess of Bartholin gland,21
2,White matter hyperintensity burden [EA],23495
2,"Urinary metabolite modules (eigenmetabolites) in chronic kidney disease [N-acetyl-1-methylhistidine,  N-delta-acetylornithine,  X-11357,  X-23590]",21059
2,Other disorders of ear,7426
2,Pericarditis,3591
2,3mm strong meridian angle (right),2690
2,Plasma free amino acid levels (adjusted for one other PFAA) [Gly (adjusted for Pro],261
2,Sensitive skin,456
2,Protein quantitative trait loci (liver) [GSN],57
2,Protein quantitative trait loci (liver) [LRRK2],8
2,Cardiovascular disease,109127
2,Blood metabolite levels [Arginine],24155
2,Thyroid problem (not cancer),91019
2,Asthma (mode),10124
2,Waist circumference adjusted for BMI in active individuals [women],2158
2,Feeling worry,1176
2,Language functional connectivity,2997
2,Hallux valgus (acquired),4468
2,LDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df) [Hispanic],1563
2,Electrocardiogram morphology (amplitude at temporal datapoints) [116 ms],275
2,Pulse wave peak to peak time,65
2,Other/unspecified rheumatoid arthritis,46
2,Body mass index (joint analysis main effects and physical activity interaction) [EA],12545
2,White matter microstructure (fractional anisotropy) [Anterior limb of internal capsule],23194
2,Electrocardiogram morphology (amplitude at temporal datapoints) [18 ms],33167
2,Coronary revascularization (ANGIO or CABG),45992
2,Serum metabolite levels [Serum_TG],2043
2,Emotionally unstable personality disorder,717
2,Serum metabolite levels [cholesterol],955
2,Diabetes in response to antihypertensive drug treatment (treatment strategy interaction),1151
2,Caspase 8 levels,1305
2,Iron status biomarkers (iron levels),707
2,Brain morphology (MOSTest),131110
2,Hot drink temperature,15160
2,Taking other prescription medications,8393
2,Serum urea levels,245982
2,Serum levels of protein QPCT,4739
2,"Hip circumference [EA, men]",2604
2,Facial morphology (segment 25),3640
2,CD25++ CD8+ T cell %CD8+ T cell,1456
2,Blood protein levels [Interleukin-19],438
2,Kynurenate levels,472
2,Rheumatoid arthritis [all cases vs. all controls],502
2,Electrocardiogram morphology (amplitude at temporal datapoints) [-124 ms],362
2,Male-pattern baldness,78970
2,Diffuse plaques (SNP x SNP interaction),31418
2,Interleukin-1-receptor antagonist levels,15452
2,Blood protein levels [Low molecular weight phosphotyrosine protein phosphatase],12375
2,"Cholesterol lowering medication | medication for cholesterol, blood pressure or diabetes",4842
2,Electrocardiogram morphology (amplitude at temporal datapoints) [172 ms],5345
2,Sphingomyelin_35:1_[M+H]1+ levels,2043
2,Ovarian cancer,874
2,Protein quantitative trait loci (liver) [PCBD1],14
2,Fibrinogen levels,21757
2,Eosinophil percentage of white cells,149899
2,Triglyceride levels in current drinkers,3000
2,Plasma lactate levels,1994
2,Blood sugar levels,5347
2,CD25++ CD8+ T cell %T cell,1456
2,Plasma free amino acid levels (adjusted for one other PFAA) [Gly (adjusted for Phe],261
2,Cutaneous squamous cell carcinoma,8031
2,Unstable angina pectoris,21669
2,Phosphatidylcholine_32:1_[M+H]1+/Phosphatidylethanolamine_35:1_[M+H]1+/Phosphatidate_37:2_[M+NH4]1+ levels,2171
2,"Yes, during the last year | ever been injured or injured someone else through drinking alcohol",3541
2,"Intra-ocular pressure, goldmann-correlated (right)",8705
2,Metformin | treatment/medication code,10250
2,Prostate cancer [EA],8649
2,Haloplasmatales abundance in stool,1414
2,Serum albumin levels [EA],1776
2,Electrocardiogram morphology (amplitude at temporal datapoints) [54 ms],608
2,Smoking x traumatic event in childhood (sexually molested) interaction,494
2,"Fibromyalgia | non-cancer illness code, self-reported",41
2,Fasting blood insulin (BMI interaction),2468
2,Hypospadias,23308
2,Smoking cessation,31388
2,Waist-to-hip ratio adjusted for BMI (additive genetic model),23608
2,Serum metabolite levels [VLDL_D],2043
2,Cardiac arrhytmias,10678
2,Electrocardiogram morphology (amplitude at temporal datapoints) [-106 ms],2912
2,Nitrolingual 400micrograms spray | treatment/medication code,594
2,"""Delirium, not induced by alcohol and other psychoactive substances""",530
2,Heart rate response to exercise,198
2,Facial morphology (segment 49),230
2,Angina pectoris,87628
2,N-delta-acetylornithine levels,24553
2,Blood protein levels [ST2],11557
2,Contracture of palmar fascia [dupuytren's disease],8405
2,Electrocardiogram morphology (amplitude at temporal datapoints) [128 ms],5345
2,Joint disorder,867
2,Posterior cortical atrophy and Alzheimer's disease,285
2,Hip bone mineral density and total body fat mass (bivariate analysis),734
2,"Polio / poliomyelitis | non-cancer illness code, self-reported",15
2,Triglyceride levels in small VLDL,19270
2,Alcohol consumption (drinks per week),25851
2,Hypothyroidism or myxedema,103429
2,"Forced expiratory volume in 1-second (fev1), predicted",175718
2,Asthma (only as main-diagnosis),5726
2,Serum metabolite concentrations in chronic kidney disease [N2-acetyllysine],5449
2,Serum levels of protein LMAN2L,3102
2,Hematuria,286
2,Carpal tunnel syndrome,5151
2,Plasma lactate levels [EA],1994
2,Heel bone mineral density T score,255540
2,Firmicutes A abundance in stool,2930
2,FSC-A on HLA DR+ Natural Killer,209
2,Serum metabolite levels (CMS) [Gp],2043
2,"Urinary metabolite modules (eigenmetabolites) in chronic kidney disease [N-acetylarginine,  N-acetylcitrulline,  X-13698]",175
2,Diffuse large B cell lymphoma,1036
2,Gut microbiota relative abundance (bacterial taxa) [Clostridium_xylanovorans],83
2,Gut microbiota (functional units) [GO:0048598|BP|03|embryonic morphogenesis],25
2,Polycystic ovary syndrome,13233
2,Phosphatidylcholine_34:4_[M+H]1+/Phosphatidylethanolamine_37:4_[M+H]1+/Phosphatidate_39:5_[M+NH4]1+ levels,2171
2,QRS complex (12-leadsum) [EA],1350
2,"Adenosine 3',5'-cyclic monophosphate (camp) levels",1019
2,Protein quantitative trait loci (liver) [SDHB],106
2,Pelvic organ prolapse,1270
2,"Red blood cell traits [EA, PCV]",208
2,White matter microstructure (radial diusivities) [Fornix (column and body],40
2,"Energy expenditure [Men, Overweight/Obese]",39
2,Sleep activity levels,28
2,Reticulocyte count,862767
2,Fasting glucose,60695
2,Mean time to correctly identify matches,14600
2,"Serum metabolite levels [bilirubin (E,Z or Z,E)*]",2441
2,Breast size,2931
2,Facial morphology [nasion-left endocanthion distance],101
2,Femur bone mineral density x serum urate levels interaction,1546
2,Anti-chlamydia trachomatis IgG seropositivity,11
2,Other and unspecified psoriasis,1
2,Factor VII activity or levels,2043
2,Pubertal anthropometrics [Pubertal growth],8151
2,Response to dolutegravir (body weight gain),5
2,Body mass index (adult) [AA],2604
2,Metabolite levels [ALB],3612
2,Direct bilirubin levels x insomnia interaction,5509
2,Brain functional connectivity measurement (strength limbic),756
2,Body fat percentage and type 2 diabetes (pairwise),861
2,Effector Memory CD8+ T cell %CD8+ T cell,320
2,"Sarcoidosis | non-cancer illness code, self-reported",503
2,UBA9475 sp002161675 abundance in stool,48
2,Urinary metabolite levels in chronic kidney disease [N-acetyltyrosine],23640
2,Electrocardiogram morphology (amplitude at temporal datapoints) [168 ms],5345
2,3mm strong meridian (left),14562
2,Childhood sunburn occasions,9033
2,6mm strong meridian (left),15815
2,"Body mass index [EA, men]",2604
2,"Blood protein levels [NDUFS4, 10584_7_3]",299
2,Protein quantitative trait loci (liver) [GPX4],2
2,Carbamazepine-induced serious cutaneous adverse reaction,317
2,N-acetylphenylalanine levels,19007
2,Corneal resistance factor (right),13594
2,Multisite chronic pain,507
2,CD45RA- CD4+ T cell %CD4+ T cell,1462
2,Medication use (antimigraine preparations),2511
2,Electrocardiogram morphology (amplitude at temporal datapoints) [220 ms],5345
2,Leuconostoc mesenteroides abundance in stool,1414
2,Arthritis (juvenile idiopathic),3253
2,Diabetic nephropathy in type 1 diabetes,279
2,Amino acid levels [Glycine],267
2,Pork consumption,424
2,"Blood protein levels [EA, Mannan-binding lectin serine protease 1]",314
2,Crohn's disease [EA],90739
2,Myocardial infarction,288552
2,Trunk predicted mass,182409
2,Simvastatin | treatment/medication code,5549
2,"Blood protein levels [GNLY, 3195_50_2]",2454
2,Gallbladder disease,1105
2,Low high density lipoprotein cholesterol levels,12542
2,Serum metabolite concentrations in chronic kidney disease [N-delta-acetylornithine],5600
2,Alzheimer's disease (onset between ages 58 and 79),858
2,High cholesterol,13804
2,Serum metabolite levels (CMS) [XL_VLDL_PL],2043
2,"Overweight, obesity and other hyperalimentation",1821
2,Myocardial fractal dimension (slice 4),2123
2,"Lipid metabolism phenotypes [LDL-C.assay, whole]",976
2,"Cys-gly, oxidized levels",504
2,Electrocardiogram morphology (amplitude at temporal datapoints) [374 ms],28
2,"Raynaud's phenomenon/disease | non-cancer illness code, self-reported",75
2,"Blood protein levels [APOB, 2797_56_2]",113
2,Gut microbiota presence (family Peptococcaceae id.2024),35
2,"""Other and unspecified nerve root and plexus disorders, also in other diseases""",8
2,Glomerular filtration rate in non diabetics (creatinine),42537
2,Diastolic blood pressure,627902
2,"""Hypothyroidism, drug reimbursement""",1794
2,Vertical cup-disc ratio (adjusted for vertical disc diameter),2215
2,Serum metabolite levels [Gly],261
2,Metabolite levels (lipoprotein measures) [Total cholesterol in LDL],266
2,Inflammatory bowel disease and other gastroenteritis and colitis,2409
2,Stachydrine levels,149
2,Noninfective enteritis and colitis,90
2,Fish oil (including cod liver oil) | mineral and other dietary supplements,12
2,White blood cell count (basophil),13940
2,Risk-taking tendency (4-domain principal component model),19801
2,Adventurousness,17602
2,Glomerular filtration rate [EA],13887
2,Mean reticulocyte volume,491979
2,LDL cholesterol levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df) [EA],6216
2,Hashimoto thyroiditis,1008
2,Serum metabolite levels (CMS) [XS_VLDL_TG],2497
2,Serum metabolite levels [serine],240
2,Waist-to-hip ratio adjusted for BMI (joint analysis main effects and smoking interaction) [women],598
2,Mosaic loss of chromosome Y (Y chromosome dosage),99
2,Percentage of invited food questionnaires completed,160
2,Optic disc size,11419
2,Blood protein levels in cardiovascular risk,24429
2,Other malignant neoplasms of skin (=non-melanoma skin cancer),11935
2,BMI in non-smokers [women],12446
2,Crohn's disease vs ulcerative colitis (ordinary least squares (OLS)),9564
2,Eosinophill count,157641
2,C-reactive protein levels or triglyceride levels (pleiotropy),4892
2,"High cholesterol | non-cancer illness code, self-reported",11169
2,Nasopharyngeal carcinoma (SNP x SNP interaction),1377
2,Cataracts,6164
2,Blood protein levels [Kynureninase],695
2,N1-methyladenosine levels,221
2,Menopause (age at onset) [Japanese],39
2,Inflammatory bowel disease [EA],88505
2,Alcohol usually taken with meals,12616
2,Comparative body size at age 10,52402
2,Serum levels of protein MDH1,29863
2,"Blonde | hair colour (natural, before greying)",67169
2,"""Type 2 diabetes, definitions combined""",10141
2,Helix rolling [FDR adjusted],2821
2,Lung function (FEV1) [adults],96
2,Protein quantitative trait loci (liver) [UGT2B15],1122
2,Heel bone mineral density,603376
2,Inflammatory biomarkers [IL18],14055
2,Malignant neoplasm of skin (controls excluding all cancers),11330
2,Essential hypertension,15473
2,"Blood protein levels [IL1R1, 2991_9_2]",2040
2,Progressive supranuclear palsy,1709
2,Breast cancer (estrogen-receptor negative),6417
2,"Red | hair colour (natural, before greying)",2272
2,Total cholesterol levels [East Asian],2043
2,LDL cholesterol levels [Hispanic],1507
2,Triglyceride levels [Hispanic],1788
2,High blood pressure | illnesses of father,704
2,Electrocardiogram morphology (amplitude at temporal datapoints) [120 ms],275
2,Current | smoking status,66
2,Direct low density lipoprotein cholesterol levels,56585
2,Menstruation quality of life impact (dysmenorrhea),5369
2,Serum levels of protein FKBP7,3628
2,"Blood protein levels [EA, Apolipoprotein B]",53
2,Lifetime number of sexual partners,14165
2,Cytokine levels [PDGF-BB],1574
2,Methionine sulfone levels,26167
2,Serum levels of protein HIBCH,19440
2,Scavenger receptor class A member 5 measurement,2171
2,Parkinson disease and lewy body pathology,4
2,"Body mass index (joint analysis main effects and physical activity interaction) [EA, women]",12446
2,"Heel broadband ultrasound attenuation, direct entry",56235
2,Overall health rating,15278
2,Diastolic blood pressure (cigarette smoking interaction),792
2,Selenium ace tablet | treatment/medication code,1178
2,White blood cell count [Monocytes],565
2,Maximum heart rate during fitness test,392
2,High blood pressure | illnesses of mother,672
2,Facial pigmentation measurement (UV light),1178
2,Schizophrenia or schizoaffective disorder,274
2,Platelet-derived growth factor subunit B levels,40
2,Protein quantitative trait loci (liver) [RAB14],133
2,Protein quantitative trait loci (liver) [EIF2B1],5
2,Migraine,28605
2,Body mass index (bmi),218235
2,Coagulation Factor X measurement,3240
2,Hippocampal volume,510
2,"Blood protein levels [UXS1, 8258_22_3]",1218
2,N-acetyl-3-methylhistidine levels,2345
2,"Waist-to-hip ratio adjusted for BMI in active individuals [EA, women]",598
2,Diastolic blood pressure x smoking status (current vs non-current) interaction (2df test),2505
2,Electrocardiogram morphology (amplitude at temporal datapoints) [56 ms],608
2,Serum levels of protein INHBB,42
2,Leisure sedentary behaviour (computer use),237
2,White matter microstructure (mode of anisotropy) [Sagittal stratum],43
2,"Bronchiectasis | non-cancer illness code, self-reported",70
2,Esophageal cancer,16492
2,Gamma glutamyl transpeptidase,61045
2,Cholelithiasis with other cholecystitis,1105
2,Age asthma diagnosed,10810
2,Trunk fat-free mass,186243
2,Disorders of porphyrin and bilirubin metabolism,5509
2,Psychological wellbeing index 1 (lack of subjective wellbeing and health),804
2,Electrocardiogram morphology (amplitude at temporal datapoints) [166 ms],5345
2,Bilirubin levels in tenofovir-treated HIV infection,968
2,CD25++ CD45RA+ CD4 not regulatory T cell %CD4+ T cell,1759
2,Smoking initiation (ever regular vs never regular) [Conditioned on chr2:113240183],4159
2,Cortical surface area [Transverse Temporal],851
2,Response to statins (LDL cholesterol change),252
2,Epilepsy [GGE],621
2,Diastolic blood pressure [Japanese],112
2,Brain region volumes [total brain volume],33
2,Cortical surface area [Inferior Temporal],228
2,Objective response to lithium treatment,36
2,Sodium thyroxine | treatment/medication code,1
2,Risk taking,26307
2,Serum metabolite levels [Nacetylornithine],86199
2,Electrocardiogram morphology (amplitude at temporal datapoints) [190 ms],5345
2,Facial morphology (segment 32),6313
2,Electrocardiogram morphology (amplitude at temporal datapoints) [80 ms],883
2,FSC-A on monocyte,4178
2,Facial morphology (segment 11),2227
2,CD28 on activated CD4 regulatory T cell,2491
2,Testicular germ cell tumor,1974
2,Brain functional connectivity measurement (characteristic path length),756
2,"Ecg, heart rate",590
2,"Sphingomyelin (d18:2/16:0, d18:1/16:1) levels",135
2,IgG bisecting N-acetyl glucosamine phenotypes (multivariate analysis),1376
2,"Orofacial clefts [Meta-All, NSCL/P]",1790
2,Paternal history of Alzheimer's disease,174
2,Gut microbiota presence (genus Odoribacter id.952),155
2,Electrocardiogram morphology (amplitude at temporal datapoints) [368 ms],28
2,Educational attainment,2990
2,N-acetylarginine levels,24759
2,"Urinary metabolite levels in chronic kidney disease [N2,N6-diacetyllysine]",23819
2,"Dark brown | hair colour (natural, before greying)",24397
2,Pelvic organ prolapse [conditioned on rs3791675],924
2,Serum levels of protein DNAJC10,2622
2,Systemic lupus erythematosus [EA],1138
2,Lysophosphatidylethanolamine_16:0_[M-H]1- levels,2043
2,Heart failure and antihypertensive medication,764
2,"Mean arterial pressure x alcohol consumption interaction (2df test) [EA, Hispanic]",144
2,Symptoms and signs involving the digestive system and abdomen,266
2,White matter hyperintensity volume x hypertension interaction (2df),32240
2,Circulating leptin levels or type 2 diabetes,2568
2,Electrocardiogram morphology (amplitude at temporal datapoints) [180 ms],5345
2,Waist circumference adjusted for BMI (adjusted for smoking behaviour) [women],598
2,Serum metabolite levels [creatine],240
2,Addiction [codependence - African ancestry men - adjusted analysis],37
2,Blond vs. brown/black hair color,11201
2,LDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df) [Asian],1408
2,Alcohol use disorder [EA],2126
2,Electrocardiogram morphology (amplitude at temporal datapoints) [-156 ms],118
2,Lung function (FEV1) and waist circumference adjusted for BMI [East Asian],1450
2,Forns index in high alcohol intake,1327
2,Sphingomyelin_34:0_[M+H]1+ levels,2043
2,CD28 on CD45RA+ CD4+ T cell,2491
2,Facial morphology (segment 30),382
2,Brain region volumes [left inferior temporal],106
2,Keratitis,410
2,Childhood and early adolescence aggressive behavior,35
2,"Urinary tract infection/kidney infection | non-cancer illness code, self-reported",107
2,Idiopathic membranous nephropathy,5752
2,Total cholesterol levels [Hispanic],3501
2,C-reactive protein levels [women],2043
2,White matter microstructure (mean diusivities) [Superior fronto-occipital fasciculus],23115
2,LDL cholesterol levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df) [Asian],1352
2,Diastolic blood pressure [EA],1349
2,Diastolic blood pressure [Hispanic],135
2,Leg fat mass (lean adjusted),264
2,Plasma free amino acid levels (adjusted for one other PFAA) [Gln (adjusted for Gly],261
2,Hereditary monor and sensory neuropathy,22
2,Cortical surface area [Superior Parietal],9
2,Medication use (drugs used in diabetes),27480
2,Parkinson's disease or first degree relation to individual with Parkinson's disease,14007
2,Diabetes,10240
2,"Allergy, hypersensitivity or anaphylaxis",6367
2,Phosphatidylcholine_32:0_[M+H]1+/Phosphatidylethanolamine_35:0_[M+H]1+/Phosphatidate_37:1_[M+NH4]1+ levels,2043
2,interleukin-18 receptor 1 levels,11864
2,"""Type 2 diabetes, definitions combined, including avohilmo""",10141
2,Smoking initiation (ever regular vs never regular) [Conditioned on chr2:45159091],5348
2,Oxidized LDL cholesterol levels,454
2,Lobe size,2046
2,"Blood protein levels [CD8A, 5992_50_3]",4149
2,6mm regularity index (right),118
2,Urinary metabolite levels in chronic kidney disease [2-methylbutyrylglycine],10
2,Vincristine-induced peripheral neuropathy in acute lymphoblastic leukemia,37
2,Triglycerides,221614
2,Urea levels,94863
2,Retinal vascular fractal density,11445
2,Bone ultrasound measurement (broadband ultrasound attenuation) [female],464
2,Femur bone mineral density x serum urate levels interaction [male],6163
2,Obstructive sleep apnea trait (average oxyhemoglobin desaturation per event),4078
2,Creatinine (enzymatic) in urine,1736
2,Optic cup area,744
2,Cerebral glucose metabolic decline (left angular gyrus),79
2,Aprovel 75mg tablet | treatment/medication code,69
2,Allergic march (atopic dermatitis to asthma),22
2,Alzheimer's disease (cognitive decline),15
2,Betaine levels in individuals undergoing cardiac evaluation,10
2,"Total cholesterol levels [Asian initial, BMI unadjusted]",789
2,Total cholesterol levels [Trans-ethnic initial],7978
2,Urinary metabolite levels in chronic kidney disease [N-acetylpyrraline],23819
2,Circulating cell-free DNA,5509
2,Dilated cardiomyopathy (MTAG),1914
2,Electrocardiogram morphology (amplitude at temporal datapoints) [214 ms],1570
2,CD28- CD8dim T cell %T cell,84
2,Urinary creatinine levels,267
2,Autoimmune thyroiditis,8
2,Arterial stiffness,65
2,Terminally Differentiated CD4+ T cell Absolute Count,1462
2,Mean sphered cell volume,369450
2,Diabetes diagnosed by doctor,5038
2,Diacylglycerol_32:0_[M+H-H2O]1+ levels,2043
2,Strontium product | treatment/medication code,95
2,Bilirubin levels [random effects model],938
2,Medication use (antihistamines for systemic use),4700
2,Mucinous ovarian carcinoma,4832
2,Electrocardiogram morphology (amplitude at temporal datapoints) [144 ms],5345
2,Peripheral vascular disease,127
2,Depressive symptom (sleep problems) (binary trait),756
2,Variation in diet,307
2,"Number of operations, self-reported",266
2,"Gut microbiota (bacterial taxa, hurdle binary method) [G_Lactococcus_HB]",7
2,Menopause (age at onset),99745
2,Estimated glomerular filtration rate [EA],18498
2,White matter microstructure (radial diusivities) [Anterior limb of internal capsule],23194
2,Serum metabolite concentrations in chronic kidney disease [N-acetyl-1-methylhistidine],1663
2,"Heel quantitative ultrasound index (qui), direct entry (right)",17821
2,"Adult diffuse glioma (IDH mutation, 1p/19q non-codeleted)",1557
2,"Blood protein levels [PROC, 3758_63_3]",6540
2,Metabolite levels  (X-11787),11510
2,3mm strong meridian (right),13598
2,Electrocardiogram morphology (amplitude at temporal datapoints) [140 ms],5345
2,Serum levels of protein TYK2,5077
2,Serum metabolite levels [S_VLDL_P],2497
2,Left-handed | handedness (chirality/laterality),875
2,Hypertension [East Asian],1416
2,Diabetes | illnesses of mother,273
2,Brain region volumes [left rostral anterior cingulate],53
2,Polycystic ovary syndrome (adjusted for age),24
2,Spherical equivalent,18433
2,"Waist circumference [EA, men]",2867
2,Nasal polyp,7890
2,X-12101 levels,929
2,"Metabolite levels [2,6 dimethylheptanoyl carnitine]",1292
2,Cortical surface area [Lingual],369
2,Serum levels of protein IL1RL1,6297
2,No | hearing difficulty/problems,3392
2,Gut microbiota abundance (genus Bifidobacterium id.436),1027
2,"Waist circumference adjusted for BMI (joint analysis main effects and physical activity interaction) [EA, women]",598
2,3mm weak meridian (left),15421
2,Diabetes mellitus,11909
2,Electrocardiogram morphology (amplitude at temporal datapoints) [332 ms],2342
2,Lung function (forced vital capacity) [EA],181
2,CD28 on CD45RA- CD4 not regulatory T cell,3105
2,Free cholesterol levels in IDL,1483
2,Arrhythmia,1772
2,C-reactive protein levels or LDL-cholesterol levels (pleiotropy),2817
2,Serum metabolite levels [N-acetylglycine],240
2,Electrocardiogram morphology (amplitude at temporal datapoints) [-162 ms],118
2,Central corneal thickness,11221
2,White matter microstructure (fractional anisotropy) [External capsule ],23140
2,Neuroticism conditioned on Townsend deprivation index (multi-trait conditioning and joint analysis),39041
2,Platelet crit,190261
2,Statin medication,5873
2,Urate levels [women],8389
2,Free thyroxine concentration,4522
2,O levels/gcses or equivalent | qualifications,3476
2,Metabolite levels [C9/C10:2],1357
2,Spherical equivalent or myopia (age of diagnosis),19179
2,Body fat distribution (leg fat ratio),774
2,Multiple sclerosis,22415
2,Serum metabolite levels [N-acetylleucine],42079
2,Systemic lupus erythematosus [anti-dsDNA +],324
2,"Blood pressure measurement (cold pressor test) [SBP, Time 0]",397
2,Serum levels of protein MCTS1,5077
2,Electrocardiogram morphology (amplitude at temporal datapoints) [210 ms],1570
2,Protein quantitative trait loci (liver) [COL14A1],9
2,Ischemic heart disease,41305
2,"Atopic dermatitis [EA, fixed effects]",26608
2,Hypothyroidism,90417
2,Comparative height size at age 10,296387
2,Body mass index [age 8],9892
2,Body fat percentage [women],2604
2,Asthma-related pneumonia,7832
2,Acute upper respiratory infections,5199
2,"Other renal/kidney problem | non-cancer illness code, self-reported",314
2,Allergic asthma (mode),3002
2,P-cresol sulfate levels,1693
2,Electrocardiogram morphology (amplitude at temporal datapoints) [308 ms],275
2,"Helicobacter pylori | non-cancer illness code, self-reported",98
2,T cell lymphocyte profile difference,29
2,Type 1 diabetes nephropathy [ESRD vs. non-ESRD],859
2,Cancer (pleiotropy),34799
2,"Systolic blood pressure, automated reading",78177
2,Bitter beverage consumption,2043
2,Progressive supranuclear palsy [controlling for rs7571971],703
2,"Body mass index (joint analysis main effects and physical activity interaction) [EA, men]",2604
2,Body fat distribution (leg fat ratio) [females],816
2,Lung function (FEV1/FVC),592919
2,"Blood protein levels [EA, Interleukin-1 receptor-like 1]",9093
2,Sudden cardiac arrest,1780
2,"Blood protein levels [COLEC11, 4430_44_3]",438
2,Cholesterol [TG],2043
2,Cholecystitis without cholelithiasis,421
2,"""Inflammatory bowel disease, strict (require KELA)""",90
2,Congenital left-sided heart lesions,495
2,"Unclassifiable | cancer code, self-reported",118
2,Medication use (antiglaucoma preparations and miotics),2197
2,Prostate-specific antigen levels,98
2,Facial morphology [nasion-left exocanthion distance],101
2,Number of incorrect matches in round,76
2,Protein quantitative trait loci (liver) [C9orf64],8
2,Psoriasis [conditional on rs1990760],14
2,Serum metabolite levels [N-acetylasparagine],53437
2,Urinary albumin excretion (no hypertensive medication),3405
2,"Diastolic blood pressure x alcohol consumption (light vs heavy) interaction (2df test) [AA, EA]",733
2,Helix rolling,1839
2,Fasting blood insulin adjusted for BMI,2307
2,"Facial morphology traits (59 NSCL/P endophenotypic segments) [Quadrant I (Philtrum), Segment 33]",197
2,Insomnia complaints (dichotomous),28
2,Right eye only | ever had cataract surgery,23
2,Male puberty timing (early vs. average onset facial hair),14
2,Mean corpuscular hemoglobin concentration,623168
2,Interleukin-1 receptor-like 1 measurement,20801
2,Total cholesterol levels [EA],12613
2,"Urinary metabolite modules (eigenmetabolites) in chronic kidney disease [N2-acetyllysine,  N-alpha-acetylornithine,  X-12124,  X-12125,  X-15666]",6062
2,Serum metabolite levels (CMS) [Remnant_C],2043
2,CD4RA on Terminally Differentiated CD4+ T cell,136
2,Lachnospirales abundance in stool,2930
2,Frontal fibrosing alopecia,11
2,Protein quantitative trait loci (liver) [TXNL1],4
2,Cortical surface area [Frontal Pole],5699
2,Direct bilirubin levels,147795
2,Lachnospiraceae abundance in stool,2930
2,Metabolite levels [lactate],2043
2,Diabetic nephropathy,261
2,Gallstone disease [Chilean Latinos],266
2,"""Ulcerative colitis (strict definition, all Crohn cases excluded)""",261
2,Hyperthyroidism or thyrotoxicosis,1279
2,Advanced age-related macular degeneration [EA],258
2,Blood pressure (anthropometric measures interaction) [SBP],12
2,Crohn's disease,165746
2,Glycemic traits (multi-trait analysis),5494
2,Electrocardiogram morphology (amplitude at temporal datapoints) [-100 ms],708
2,Myocardial fractal dimension (slice 6),955
2,Hyperopia,502
2,"Blood protein levels [EA, Tumor necrosis factor receptor superfamily member EDAR]",578
2,Venous thromboembolism,1853
2,Insulin-related traits (multivariate analysis),3424
2,High blood pressure | vascular/heart problems diagnosed by doctor,53102
2,Metabolite levels (small molecules and protein measures) [Alanine],2043
